,brand,model,OS,RAM,approx_price_EUR,battery_removable,battery_type,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb
684,Apple,iPhone 4,iOS,512,200.0,False,Li-Po,1420,1,1.0,5,VGA|,8
685,Apple,iPhone 4 CDMA,iOS,512,150.0,False,Li-Po,1420,1,1.0,5,Videocalling,32
688,Apple,iPhone 3GS,iOS,256,110.0,False,Li-Ion,,1,0.6,3.15,No,8
689,Apple,iPhone 3G,iOS|,128,90.0,False,Li-Ion,,1,0.41200000000000003,2,No,8
692,Archos,55 Graphite,Android,2,180.0,False,Li-Ion,3000,4,1.5,Dual,5,16
693,Archos,50 Graphite,Android,1,130.0,False,Li-Ion,2400,4,1.5,Dual,5,16
696,Archos,Diamond 2 Plus,Android,4,250.0,False,Li-Ion,2950,8,2.0,20.7,8,64
701,Archos,50d Helium 4G,Android,1,140.0,True,Li-Ion,2100,4,1.2,13,5,8
702,Archos,50b Helium 4G,Android,1,150.0,True,Li-Po,2000,4,1.2,8,2,8
703,Archos,50 Diamond,Android,2,200.0,False,Li-Po,2700,8,1.5,16,8,16
704,Archos,40 Cesium,Microsoft,512,80.0,True,Li-Ion,1700,4,1.2,5,2,4
708,Archos,80 Helium 4G,Android,1,280.0,True,Li-Ion,3500,4,1.2,5,2,8
709,Archos,64 Xenon,Android,1,240.0,True,Li-Ion,2800,4,1.3,8,2,4
710,Archos,50c Oxygen,Android,1,240.0,True,Li-Ion,2000,8,1.7,8,2,8
712,Archos,50 Helium 4G,Android,1,280.0,True,Li-Ion,2000,4,1.2,8,2,8
713,Archos,45 Helium 4G,Android,1,230.0,True,Li-Ion,1850,4,1.2,5,VGA,4
722,Asus,Zenpad 3 8.0 Z582KL,Android,3,390.0,False,Li-Ion,4680,8,1.8,13,5,32
724,Asus,Zenfone Live ZB501KL,Android,2,150.0,False,Li-Ion,2650,4,1.2,13,5,32
725,Asus,Zenfone 3s Max ZC521TL,Android,3,230.0,False,Li-Po,5000,8,1.5,13,8,32
726,Asus,Zenpad 3S 10 Z500KL,Android,4,450.0,False,Li-Po,7800,6,1.4,8,5,32
727,Asus,Zenfone AR ZS571KL,Android,GB|,800.0,False,Li-Ion,3300,4,2.35,23,8,64
728,Asus,Zenfone 3 Zoom ZE553KL,Android,4,550.0,False,Li-Ion,5000,8,2.0,Dual,13,64
730,Asus,Zenpad 3 8.0 Z581KL,Android,4,390.0,False,Li-Po,4680,6,1.4,8,2,32
731,Asus,Zenfone Go ZB500KL,Android,2,130.0,True,Li-Ion,2600,4,1.2,13,5,16
732,Asus,Zenfone 3 Max ZC553KL,Android,2/3/4,280.0,False,Li-Ion,4100,8,1.4,16,8,32
733,Asus,Zenfone 3 Deluxe 5.5 ZS550KL,Android,4,440.0,False,Li-Ion,3000,8,2.0,16,8,64
734,Asus,Zenpad Z10 ZT500KL,Android,3,360.0,False,Li-Po,7800,6,1.4,8,5,32
737,Asus,Zenfone 3 Max ZC520TL,Android,2,230.0,False,Li-Po,4130,4,1.25,13,5,16
